DEBUG 2022-12-10 12:28:47,747 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [LegalBatch]
DEBUG 2022-12-10 12:28:48,099 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [IPlusReport]
DEBUG 2022-12-10 12:28:48,439 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CriticalDates]
DEBUG 2022-12-10 12:28:48,987 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [VPDashboardWidget]
DEBUG 2022-12-10 12:28:49,529 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8JPEIDHistory]
DEBUG 2022-12-10 12:28:49,866 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [DCP_TEMPLATEGROUPXREF]
DEBUG 2022-12-10 12:28:50,414 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [WOBusinessHours]
DEBUG 2022-12-10 12:28:50,739 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [itf_WriteOffCodes]
DEBUG 2022-12-10 12:28:51,075 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [tESTTABLEYEE]
DEBUG 2022-12-10 12:28:51,401 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [AssessmentSection]
DEBUG 2022-12-10 12:28:51,755 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [IPlusTargetTemplate]
DEBUG 2022-12-10 12:28:52,093 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ScnImgHdr]
DEBUG 2022-12-10 12:28:52,625 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [TSScheduleBlackout]
DEBUG 2022-12-10 12:28:52,957 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [PMGroupExpTypeXRef]
DEBUG 2022-12-10 12:28:53,326 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CommonGLAccounts_BT]
DEBUG 2022-12-10 12:28:53,664 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CUREXCHRULES]
